type,Dy,Ay,Du,Au
W1,0.48,0.4,11.51,1.2
W2,0.626,0.4,12.528,1
S1L,0.611,0.25,14.667,0.749
S1M,1.775,0.156,28.4,0.468
S1H,4.657,0.098,55.884,0.293
S2L,0.626,0.4,10.023,0.8
S2M,2.426,0.333,25.876,0.667
S2H,7.746,0.254,61.965,0.508
S3,0.626,0.4,10.023,0.8
S4L,0.384,0.32,6.906,0.72
S4M,1.092,0.267,13.1,0.6
S4H,3.486,0.203,31.37,0.457
S5L,0.12,0.1,1.199,0.2
S5M,0.341,0.083,2.274,0.167
S5H,1.089,0.063,5.446,0.127
C1L,0.391,0.25,9.387,0.749
C1M,1.152,0.208,18.436,0.624
C1H,2.011,0.098,24.13,0.293
C2L,0.48,0.4,9.592,1
C2M,1.038,0.333,13.841,0.833
C2H,2.939,0.254,29.394,0.635
C3L,0.12,0.1,1.349,0.225
C3M,0.26,0.083,1.946,0.188
C3H,0.735,0.063,4.134,0.143
PC1,0.719,0.6,11.51,1.2
PC2L,0.48,0.4,7.673,0.8
PC2M,1.038,0.333,11.073,0.667
PC2H,2.939,0.254,23.515,0.508
RM1L,0.639,0.533,10.229,1.066
RM1M,1.384,0.444,14.76,0.889
RM2L,0.639,0.533,10.229,1.066
RM2M,1.384,0.444,14.76,0.889
RM2H,3.918,0.338,31.346,0.677
URML,0.24,0.2,2.397,0.4
URMM,0.272,0.111,1.812,0.222
MH,0.18,0.15,2.158,0.3